   400→   400→- **Status**: ✅ Working
   748→   748→  - ✅ `ConsumerWidget` with `ref.watch(clientGroupsProvider)`.
   749→   749→  - ✅ Full CRUD wired (`genericCreateAction` / `genericUpdateAction` / `genericDeleteAction`).
   750→   750→  - **Search TextField has no `onChanged`** — search box is decorative.
   751→   751→
   752→   752→## lib/features/admin_web/pages/admin_roles_page.dart
   753→   753→- **Purpose**: Admin accounts table with full CRUD.
   754→   754→- **Classes/Functions**: `AdminRolesPage` (ConsumerWidget), `_buildRow`, `_adminSearchProvider`.
   755→   755→- **Status**: ✅ Working
   756→   756→- **Issues**: ✅ Uses `createAdminAction`, `genericUpdateAction`, `deleteAdminAction`. The update calls `genericUpdateAction('/admin/list', id, ...)` — but the actual server endpoint for updating an admin is `/admin/permissions/$adminId` (per `AdminAuthRepositoryImpl.updateAdminPermissions`). Endpoint mismatch — update likely 404s.
   757→   757→
   758→   758→## lib/features/admin_web/pages/admin_permissions_page.dart
   759→   759→- **Purpose**: Permissions table with full CRUD.
   760→   760→- **Classes/Functions**: `AdminPermissionsPage` (ConsumerWidget), `_buildRow`.
   761→   761→- **Status**: ⚠️ Issues
   762→   762→- **Issues**:
   763→   763→  - ✅ `ConsumerWidget` with `ref.watch(adminPermissionsProvider)`.
   764→   764→  - ✅ Full CRUD wired.
   765→   765→  - **Search TextField has no `onChanged`**.
   766→   766→  - Column header `'backpack::permissionmanager.title'` is a Laravel Backpack i18n key accidentally shipped as the column label — should be `"Заголовок"`.
   767→   767→
   768→   768→## lib/features/admin_web/pages/admin_agreements_page.dart
   769→   769→- **Purpose**: Agreements table with full CRUD.
   770→   770→- **Classes/Functions**: `AdminAgreementsPage` (ConsumerWidget), `_buildRow`.
   771→   771→- **Status**: ⚠️ Issues
   772→   772→- **Issues**:
   773→   773→  - ✅ `ConsumerWidget` with `ref.watch(adminAgreementsProvider)`.
   774→   774→  - ✅ Full CRUD wired.
   775→   775→  - **Search TextField has no `onChanged`**.
   776→   776→  - **Title says `'Entries'`** — should be `'Договора'`.
   777→   777→
   778→   778→## lib/features/admin_web/pages/admin_faq_page.dart
   779→   779→- **Purpose**: FAQ table with full CRUD.
   780→   780→- **Classes/Functions**: `AdminFaqPage` (ConsumerWidget), `_buildRow`.
   781→   781→- **Status**: ⚠️ Issues
   782→   782→- **Issues**:
   783→   783→  - ✅ `ConsumerWidget` with `ref.watch(adminFaqProvider)`.
   784→   784→  - ✅ Full CRUD wired.
   785→   785→  - **Search TextField has no `onChanged`**.
   786→   786→  - **Title says `'Faqs'`** — should be `'Частые вопросы'`.
   787→   787→
   788→   788→## lib/features/admin_web/pages/admin_companies_page.dart
   789→   789→- **Purpose**: Companies table with full CRUD.
   790→   790→- **Classes/Functions**: `AdminCompaniesPage` (ConsumerWidget), `_buildRow`.
   791→   791→- **Status**: ⚠️ Issues
   792→   792→- **Issues**:
   793→   793→  - ✅ `ConsumerWidget` with `ref.watch(adminCompaniesProvider)`.
   794→   794→  - ✅ Full CRUD wired.
   795→   795→  - **Search TextField has no `onChanged`**.
   796→   796→  - **Title says `'Companies'`** — should be `'Компании'`.
   797→   797→
   798→   798→## lib/features/admin_web/pages/admin_contacts_page.dart
   799→   799→- **Purpose**: Contacts table with full CRUD.

[showing lines 400-799 of 1454; use offset=800 with limit to continue reading]
